#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t2 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       VMIS         TRESCA       TRACE        DETER       
StressInBal      N4198    resImp   SIGM_NOEU                   9  8.91089E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  4.19199E-02  4.22218E-02 -1.23363E-01 -5.08984E-05
StressInBal      N4199    resImp   SIGM_NOEU                   9  8.91089E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  4.15475E-02  4.16615E-02 -1.26289E-01 -5.56893E-05
StressInBal      N4200    resImp   SIGM_NOEU                   9  8.91089E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  4.19196E-02  4.22215E-02 -1.23362E-01 -5.08973E-05
StressInBal      N4201    resImp   SIGM_NOEU                   9  8.91089E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  4.40308E-02  4.59355E-02 -1.12941E-01 -3.51673E-05
StressInBal      N4202    resImp   SIGM_NOEU                   9  8.91089E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  4.27773E-02  4.46533E-02 -1.09716E-01 -3.22327E-05
StressInBal      N4196    resImp   SIGM_NOEU                  10  9.90099E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  5.07443E-02  5.29695E-02 -1.30151E-01 -5.38052E-05
StressInBal      N4197    resImp   SIGM_NOEU                  10  9.90099E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  5.22303E-02  5.44897E-02 -1.33973E-01 -5.86995E-05
StressInBal      N4198    resImp   SIGM_NOEU                  10  9.90099E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  4.97257E-02  5.00838E-02 -1.46334E-01 -8.49548E-05
StressInBal      N4199    resImp   SIGM_NOEU                  10  9.90099E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  4.92839E-02  4.94192E-02 -1.49805E-01 -9.29511E-05
StressInBal      N4200    resImp   SIGM_NOEU                  10  9.90099E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  4.97254E-02  5.00835E-02 -1.46333E-01 -8.49529E-05
StressInBal      N4201    resImp   SIGM_NOEU                  10  9.90099E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  5.22296E-02  5.44890E-02 -1.33972E-01 -5.86983E-05
StressInBal      N4202    resImp   SIGM_NOEU                  10  9.90099E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  5.07427E-02  5.29679E-02 -1.30147E-01 -5.38008E-05
StressInBal      N4196    resImp   SIGM_NOEU                  11  1.08911E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  5.87277E-02  6.13029E-02 -1.50628E-01 -8.34071E-05
StressInBal      N4197    resImp   SIGM_NOEU                  11  1.08911E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  6.04475E-02  6.30623E-02 -1.55051E-01 -9.09929E-05
StressInBal      N4198    resImp   SIGM_NOEU                  11  1.08911E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  5.75489E-02  5.79633E-02 -1.69357E-01 -1.31692E-04
StressInBal      N4199    resImp   SIGM_NOEU                  11  1.08911E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  5.70377E-02  5.71942E-02 -1.73374E-01 -1.44087E-04
StressInBal      N4200    resImp   SIGM_NOEU                  11  1.08911E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  5.75485E-02  5.79630E-02 -1.69355E-01 -1.31689E-04
StressInBal      N4201    resImp   SIGM_NOEU                  11  1.08911E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  6.04467E-02  6.30615E-02 -1.55050E-01 -9.09911E-05
StressInBal      N4202    resImp   SIGM_NOEU                  11  1.08911E-02  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  5.87258E-02  6.13010E-02 -1.50624E-01 -8.34002E-05
StressInBal      N4196    resImp   SIGM_NOEU                  12  1.18812E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  6.65361E-02  6.94537E-02 -1.70657E-01 -1.21300E-04
StressInBal      N4197    resImp   SIGM_NOEU                  12  1.18812E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  6.84847E-02  7.14472E-02 -1.75668E-01 -1.32330E-04
StressInBal      N4198    resImp   SIGM_NOEU                  12  1.18812E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  6.52008E-02  6.56703E-02 -1.91875E-01 -1.91517E-04
StressInBal      N4199    resImp   SIGM_NOEU                  12  1.18812E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  6.46216E-02  6.47989E-02 -1.96426E-01 -2.09543E-04
StressInBal      N4200    resImp   SIGM_NOEU                  12  1.18812E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  6.52003E-02  6.56699E-02 -1.91873E-01 -1.91512E-04
StressInBal      N4201    resImp   SIGM_NOEU                  12  1.18812E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  6.84839E-02  7.14462E-02 -1.75666E-01 -1.32328E-04
StressInBal      N4202    resImp   SIGM_NOEU                  12  1.18812E-02  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  6.65340E-02  6.94515E-02 -1.70652E-01 -1.21290E-04
StressInBal      N4196    resImp   SIGM_NOEU                  13  1.28713E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  7.39813E-02  7.72252E-02 -1.89754E-01 -1.66750E-04
