#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t3 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       SIXX         SIYY         SIZZ         SIXY        
StressInBal      N4196    resImp   SIGM_NOEU                  15  1.48515E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -4.37461E-02 -1.29969E-01 -4.96308E-02 -1.43194E-02
StressInBal      N4197    resImp   SIGM_NOEU                  15  1.48515E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -4.27813E-02 -1.36086E-01 -5.10339E-02 -2.56999E-03
StressInBal      N4198    resImp   SIGM_NOEU                  15  1.48515E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -5.46491E-02 -1.40550E-01 -5.59122E-02  2.70480E-04
StressInBal      N4199    resImp   SIGM_NOEU                  15  1.48515E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -5.77322E-02 -1.42036E-01 -5.72999E-02  3.63601E-07
StressInBal      N4200    resImp   SIGM_NOEU                  15  1.48515E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -5.46486E-02 -1.40549E-01 -5.59118E-02 -2.69731E-04
StressInBal      N4201    resImp   SIGM_NOEU                  15  1.48515E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -4.27813E-02 -1.36085E-01 -5.10335E-02  2.57087E-03
StressInBal      N4202    resImp   SIGM_NOEU                  15  1.48515E-02  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -4.37452E-02 -1.29965E-01 -4.96295E-02  1.43200E-02
StressInBal      N4196    resImp   SIGM_NOEU                  16  1.58416E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -4.64270E-02 -1.37932E-01 -5.26717E-02 -1.51967E-02
StressInBal      N4197    resImp   SIGM_NOEU                  16  1.58416E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -4.54027E-02 -1.44424E-01 -5.41606E-02 -2.72742E-03
StressInBal      N4198    resImp   SIGM_NOEU                  16  1.58416E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -5.79972E-02 -1.49161E-01 -5.93377E-02  2.87046E-04
StressInBal      N4199    resImp   SIGM_NOEU                  16  1.58416E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -6.12692E-02 -1.50738E-01 -6.08103E-02  3.85931E-07
StressInBal      N4200    resImp   SIGM_NOEU                  16  1.58416E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -5.79967E-02 -1.49160E-01 -5.93373E-02 -2.86251E-04
StressInBal      N4201    resImp   SIGM_NOEU                  16  1.58416E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -4.54026E-02 -1.44422E-01 -5.41602E-02  2.72835E-03
